epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
85,15.940876,3.5767,8.6532,16.688946,4.4268,9.834,1.0469,0.0396,5.0,0.06607197,258.99,7777,16311,99,12.989,7.066,5.9742,12.491,4.0394,14.8009,44.6936,12.2677,24.9154,27.8059,16.5483,33.2932
86,15.814684,3.8498,9.0652,16.265826,4.9704,9.9214,1.0285,0.0424,5.0,0.06529515,173.3,7777,16311,99,14.5714,8.101,6.7392,14.3903,4.5918,17.1096,,,,,,
87,15.699105,3.7684,9.3551,15.196469,6.0382,12.3095,0.968,0.0535,5.0,0.06451423,173.32,7777,16311,99,14.5132,8.0641,6.7372,14.2201,4.6782,17.2456,,,,,,
88,15.616131,4.0678,9.6066,17.700971,4.5044,9.2418,1.1335,0.0407,5.0,0.06372943,173.32,7777,16311,99,12.756,6.9484,5.747,12.2456,3.9093,14.7717,,,,,,
89,15.571218,4.2978,9.9133,14.731678,6.4654,12.892,0.9461,0.059,5.0,0.06294095,173.33,7777,16311,99,15.6781,8.7241,7.2168,15.1862,4.9345,18.2548,,,,,,
90,15.398752,4.626,10.4355,14.516933,6.9702,13.7074,0.9427,0.0636,5.0,0.06214901,258.91,7852,16311,99,15.9402,8.8654,7.1838,15.2935,4.8927,18.2971,62.2179,17.0299,37.8947,41.1072,25.7999,49.5008
91,15.291504,4.6548,10.7182,15.792069,5.5334,11.4552,1.0327,0.0493,5.0,0.06135381,173.28,7851,16311,99,14.2219,7.7702,6.5508,13.772,4.4666,16.5512,,,,,,
92,15.184317,4.9231,10.9554,17.113368,5.9897,11.7464,1.127,0.0525,5.0,0.06055558,173.25,7777,16311,99,12.9599,7.0866,5.6732,11.9989,3.8064,14.2055,,,,,,
93,15.144292,5.1722,11.377,15.967971,6.3586,12.5231,1.0544,0.0586,5.0,0.05975452,173.29,7777,16311,99,13.8821,7.7073,6.4343,13.6629,4.3239,16.3523,,,,,,
94,15.012941,5.4525,11.7843,14.585929,7.3003,14.6394,0.9716,0.0679,5.0,0.05895084,173.32,7777,16311,99,15.7655,8.7402,7.0789,15.1426,4.8461,18.1051,,,,,,
95,14.917316,5.6178,12.2514,14.684106,8.0283,14.8918,0.9844,0.0735,5.0,0.05814477,259.13,7777,16311,99,15.2315,8.4995,7.2245,15.1862,4.8549,18.028,60.2798,16.517,36.9781,39.9281,25.1859,48.1243
96,14.793696,5.6849,12.2347,14.38493,7.6497,15.0665,0.9724,0.0697,5.0,0.05733652,173.27,7777,16311,99,15.7946,8.9289,7.4536,15.745,5.0908,18.6225,,,,,,
97,14.691576,5.9484,12.7474,15.407719,7.2906,13.8821,1.0487,0.066,5.0,0.05652631,173.26,7777,16311,99,14.95,8.3278,6.9217,14.7773,4.6762,17.504,,,,,,
98,14.56982,6.4611,13.4517,15.058594,7.2711,13.6589,1.0335,0.0676,5.0,0.05571435,173.99,7777,16311,99,15.6781,8.771,7.2614,15.4376,4.9539,18.4566,,,,,,
99,14.433147,6.8684,13.9284,17.449719,6.4848,12.4357,1.209,0.0596,5.0,0.05490086,178.25,8345,16311,99,13.1055,7.3086,5.8033,12.2873,3.8559,14.3191,,,,,,
100,14.341739,6.9091,14.4052,14.673325,9.1545,16.3285,1.0231,0.0848,5.0,0.05408605,265.63,8340,16311,99,14.9694,8.4014,6.8052,14.7082,4.5588,17.4087,62.388,17.2844,38.106,41.5939,25.6883,49.5891
101,14.220558,7.2086,14.8531,14.015184,9.6787,17.3381,0.9856,0.0918,5.0,0.05327016,177.77,8213,16311,99,16.2411,9.0799,7.4536,15.8227,5.0209,18.7547,,,,,,
102,14.094576,7.2205,14.9442,15.122278,8.572,15.7946,1.0729,0.0811,5.0,0.05245338,175.99,8136,16311,99,14.9209,8.2862,6.6071,13.8241,4.4491,16.3361,,,,,,
103,13.956464,7.8266,15.7252,13.991869,9.5136,17.7458,1.0025,0.0883,5.0,0.05163595,336.64,15223,16311,100,15.9596,8.8825,7.5391,15.8607,5.1014,18.7613,,,,,,
104,13.811772,8.0974,16.1803,14.05312,10.0282,17.8721,1.0175,0.0923,5.0,0.05081809,359.35,15258,16311,100,16.678,9.3212,7.7158,16.4558,5.2577,19.4174,,,,,,
105,13.72163,8.8161,16.8967,17.041154,7.2517,13.6395,1.2419,0.0666,5.0,0.05,491.13,15122,16311,100,13.6977,7.6192,6.0829,12.8693,4.0802,15.2879,56.6911,15.5675,34.1306,37.3389,22.8202,44.4171
106,13.549726,8.84,17.4189,13.696437,10.6883,19.5224,1.0108,0.0974,5.0,0.04918191,354.51,15016,16311,100,16.9013,9.5661,7.741,16.2963,5.2335,19.1444,,,,,,
107,13.501711,9.0844,17.5722,14.02686,11.2222,19.833,1.0389,0.1033,5.0,0.04836405,350.19,14931,16311,100,15.8528,8.8387,7.275,15.331,4.9452,18.2939,,,,,,
108,13.322841,9.5252,18.2262,16.813459,7.8148,13.6589,1.262,0.0728,5.0,0.04754662,329.03,14908,16311,100,14.6102,8.241,6.611,14.0773,4.4675,16.7376,,,,,,
